311 49.00 51 
312 48.00 50 
313 47.00 49 
314 46.00 48 
315 45.00 47 
316 44.00 46 
317 43.00 45 
318 42.00 44 
319 41.00 43 
320 40.00 42 
321 39.00 41 
322 38.00 40 
323 37.00 39 
324 36.00 38 
325 35.00 37 
326 34.00 36 
327 33.00 35 
328 32.00 34 
329 31.00 33 
330 30.00 32 
331 29.00 31 
332 28.00 30 
333 27.00 28 
334 26.00 28 
335 25.00 27 
336 24.00 26 
337 23.00 25 
338 22.00 24 
339 21.00 23 
340 20.00 22 
341 19.00 21 
342 18.00 20 
343 17.00 19 
344 16.00 18 
345 15.00 17 
346 14.00 16 
347 13.00 15 
348 12.00 14 
349 11.00 13 
350 10.00 12 
351 9.00 11 
352 8.00 10 
353 7.00 9 
354 6.00 8 
355 5.00 7 
356 4.00 6 
357 3.00 5 
358 2.00 4 
359 1.00 3 
360 0.00 2 

